,Country,ozone_pollution_deaths_1990,ozone_pollution_deaths_2019,ozone_percent_change,ozone_abs_change,particulate_matter_deaths_1990,particulate_matter_deaths_2019,particulate_percent_change,particulate_abs_change,household_air_deaths_1990,household_air_deaths_2019,household_percent_change,household_abs_change,ozone_offender,particulate_offender,household_offender,area_change_perc,forest_offender,mortality_rate,water_offender,degraded_land_perc,desert_offender
98,Slovenia,2.7,1.25,-0.5370370370370371,-1.4500000000000002,55.26,17.51,-0.683134274339486,-37.75,11.41,1.3,-0.8860648553900088,-10.11,0,0,0,-0.07,0,1.9,0,5,0
99,Somalia,0.4,1.68,3.1999999999999993,1.2799999999999998,7.12,7.77,0.09129213483146059,0.6499999999999995,346.73,272.02,-0.2154702506272893,-74.71000000000004,0,0,1,-1.2,0,99.19,1,23,0
100,South Africa,0.95,1.6,0.6842105263157896,0.6500000000000001,52.17,59.94,0.14893617021276584,7.769999999999996,51.65,11.6,-0.7754114230396902,-40.05,0,1,0,-0.21,0,27.59,0,78,1
101,Spain,1.88,2.26,0.2021276595744681,0.3799999999999999,26.12,8.08,-0.6906584992343032,-18.04,3.09,0.16,-0.948220064724919,-2.9299999999999997,0,0,0,0.01,0,3.17,0,18,0
102,Sri Lanka,0.24,1.3,4.416666666666667,1.06,31.44,32.02,0.018447837150127322,0.5800000000000018,103.95,29.62,-0.715055315055315,-74.33,0,0,0,0.04,0,4.83,0,36,1
103,Sudan,1.82,2.48,0.3626373626373627,0.6599999999999999,31.93,88.73,1.7788913247729408,56.800000000000004,261.51,59.14,-0.7738518603495086,-202.37,0,1,0,-0.89,0,15.78,0,12,0
104,Suriname,0.04,0.05,0.25,0.010000000000000002,51.24,45.38,-0.11436377829820454,-5.859999999999999,52.37,8.19,-0.8436127553943097,-44.18,0,0,0,-0.07,0,7.1,0,21,0
105,Tajikistan,5.87,3.83,-0.34752981260647364,-2.04,48.52,115.85,1.3876751854905192,67.32999999999998,141.0,63.41,-0.5502836879432624,-77.59,0,1,0,0.33,0,9.0,0,97,1
106,Thailand,0.95,1.61,0.6947368421052633,0.6600000000000001,45.3,33.07,-0.2699779249448123,-12.229999999999997,65.3,7.68,-0.8823889739663093,-57.62,0,0,0,-0.1,0,11.8,0,21,0
107,Togo,1.86,2.95,0.586021505376344,1.09,27.62,42.68,0.5452570601013758,15.059999999999999,211.57,131.6,-0.37798364607458523,-79.97,0,0,0,-0.24,0,42.41,0,12,0
